71998 123379
17898 17899 1
54310 54311 1
41260 8207 1
23429 4451 1
55584 55585 1
32822 43341 1
42692 42693 1
38874 56492 1
35051 36789 1
8646 8647 1
31311 31654 1
48706 49173 1
31311 31655 1
33373 34160 1
33373 34161 1
33373 34162 1
11166 3923 1
33373 34159 1
33373 34158 1
68313 68314 1
68313 68315 1
10065 22061 1
44682 44684 1
44682 44683 1
28667 5428 1
28667 5429 1
46907 46908 1
8186 8188 1
8186 8187 1
56899 56900 1
51810 52286 1
51810 52287 1
56899 56901 1
44978 45104 1
12279 12283 1
12279 12282 1
12279 12281 1
12279 12280 1
27718 28660 1
11104 11106 1
11104 11107 1
11104 11108 1
11104 11109 1
11104 11105 1
44479 44481 1
44479 44480 1
27173 58556 1
21001 4237 1
27173 58558 1
27173 58557 1
23018 3053 1
15306 29193 1
37001 37094 1
37001 37093 1
21985 9995 1
44873 44874 1
48706 49104 1
12421 12693 1
38966 38968 1
38966 38967 1
35392 4543 1
13136 13138 1
13136 13137 1
31334 32422 1
21002 21003 1
63439 63448 1
63439 63442 1
63439 63443 1
63439 63440 1
63439 63441 1
24735 9451 1
63439 63446 1
63439 63447 1
63439 63444 1
63439 63445 1
35021 548 1
43830 8896 1
53557 54911 1
53557 54910 1
24298 531 1
60201 60202 1
11304 9867 1
69823 69825 1
69823 69824 1
5911 6054 1
44829 44958 1
21323 22909 1
21323 22908 1
21323 22907 1
21323 22906 1
21323 22905 1
21323 22904 1
21323 22903 1
28493 56293 1
28493 56292 1
21556 25106 1
26081 3610 1
55465 55466 1
17907 18264 1
17907 18263 1
59609 59611 1
59609 59610 1
10124 3494 1
4429 4430 1
23749 23750 1
30512 67154 1
30512 67153 1
19749 19750 1
19749 19751 1
19749 19752 1
18649 19190 1
16093 19857 1
27718 28576 1
27718 28575 1
27718 28570 1
27718 28577 1
20869 20870 1
14006 31512 1
386 52147 1
386 52148 1
386 52146 1
51477 51650 1
51477 51651 1
24439 29321 1
27718 28596 1
1540 28982 1
14450 14676 1
192 2559 1
20261 5829 1
35680 4750 1
30606 31036 1
30606 31034 1
30606 31035 1
26922 57794 1
29017 41324 1
23711 31415 1
30606 31017 1
45233 4779 1
10065 22194 1
27145 32456 1
27145 32455 1
31717 32031 1
31717 32032 1
65895 65896 1
37493 37494 1
48315 48316 1
70610 70611 1
70610 70613 1
70610 70612 1
39449 52415 1
2711 2713 1
39449 52414 1
2711 2712 1
24790 43860 1
34888 34889 1
7794 7795 1
7794 7796 1
7794 7797 1
7794 7798 1
70177 71300 1
33656 530 1
15306 29084 1
15306 29086 1
10065 22125 1
10065 22124 1
40802 40803 1
58779 58780 1
23711 24769 1
15306 29046 1
48706 49202 1
17427 67354 1
41735 51913 1
41735 51914 1
30073 35057 1
71875 71876 1
30073 35056 1
30073 35055 1
70177 71298 1
70177 71297 1
7620 7621 1
7620 7622 1
70177 71299 1
24719 31621 1
24719 31622 1
24719 31623 1
44222 44290 1
44222 44292 1
6395 6396 1
44222 44289 1
18907 18909 1
18907 18908 1
28639 28640 1
13770 6270 1
20423 20424 1
51810 52314 1
44222 44297 1
44222 44296 1
20423 20426 1
20423 20425 1
27050 40525 1
16667 17266 1
27050 40523 1
16274 27721 1
32090 46680 1
46915 46917 1
19837 19838 1
46915 46916 1
32090 46679 1
24028 59462 1
26697 57180 1
20997 22341 1
24028 59456 1
24028 59458 1
24028 59457 1
6387 6388 1
24028 59459 1
20999 24088 1
69565 69566 1
47447 47448 1
14450 14738 1
18649 19106 1
12119 17215 1
18369 3710 1
27050 40502 1
27050 40503 1
13638 13643 1
13638 13644 1
13638 13641 1
13638 13642 1
13638 13640 1
13638 13639 1
14688 65412 1
14688 65411 1
29031 7397 1
6245 6246 1
16899 16900 1
14792 14793 1
53693 53694 1
53693 53695 1
39136 924 1
40850 40851 1
20309 21043 1
40850 40852 1
46220 46222 1
46220 46221 1
29694 29695 1
13269 13271 1
13269 13270 1
38361 38362 1
45497 838 1
41098 69170 1
41098 69169 1
20380 49969 1
31201 31538 1
12421 12422 1
12421 12424 1
12421 12423 1
15831 15832 1
34955 35066 1
34955 35065 1
15831 15833 1
65520 65521 1
32417 32418 1
17808 17809 1
32417 32420 1
426 427 1
23938 59429 1
41098 69426 1
1414 732 1
1414 731 1
40848 40849 1
4990 4996 1
4990 4995 1
4990 4994 1
47234 47235 1
4990 4993 1
4990 4992 1
4990 4991 1
36983 68626 1
63522 63523 1
63522 63524 1
12911 3614 1
55208 55209 1
4154 52281 1
4154 52282 1
22448 24424 1
28192 28193 1
13162 7998 1
57617 813 1
28999 29090 1
4018 4611 1
28999 29093 1
28999 29092 1
28999 29091 1
5823 5824 1
30042 35091 1
5823 5825 1
30042 35090 1
7490 7516 1
7490 7515 1
14181 17421 1
7103 7104 1
7103 7105 1
15348 15349 1
7490 7517 1
30675 30676 1
6694 6695 1
67343 67344 1
14821 56227 1
67343 67345 1
21662 21663 1
69092 69093 1
43298 43299 1
10146 63573 1
10128 14498 1
29147 59895 1
29147 59896 1
1325 1326 1
24886 25501 1
21708 3175 1
24886 25502 1
14181 17418 1
25893 25905 1
62655 62669 1
62655 62656 1
28330 28331 1
36825 36826 1
63320 63321 1
36825 36828 1
36825 36827 1
37354 37355 1
22987 22988 1
28999 29000 1
52298 52303 1
62655 62670 1
62655 62671 1
19132 19133 1
19132 19134 1
5818 5820 1
25862 62678 1
25862 62679 1
5818 5825 1
5818 5823 1
5818 5824 1
5818 5821 1
12749 12750 1
5818 5822 1
5818 5819 1
16766 16949 1
27901 27904 1
27901 27903 1
27901 27902 1
18632 19264 1
18632 19263 1
16168 16169 1
71151 71152 1
53002 7006 1
55221 9867 1
19043 24123 1
19752 20158 1
19752 20159 1
20574 21220 1
29872 4385 1
27057 27619 1
1752 1753 1
1752 1754 1
38911 38912 1
158 160 1
69252 69253 1
30622 30623 1
21142 27987 1
15766 9844 1
25571 7288 1
19053 19054 1
58910 6919 1
41710 41711 1
14181 17394 1
14181 17393 1
14181 17392 1
14181 17391 1
14181 17395 1
14181 17396 1
22837 22840 1
22837 22841 1
22837 22842 1
22837 22839 1
22837 22838 1
43695 43696 1
18964 18968 1
15811 68983 1
15811 68982 1
15811 68981 1
11022 11047 1
18964 18965 1
18964 18966 1
18964 18967 1
17059 17060 1
57758 57759 1
12097 12098 1
11022 11023 1
237 888 1
12097 12099 1
41255 41260 1
42710 42711 1
43759 45779 1
22448 24586 1
2848 2849 1
41255 41259 1
43759 45780 1
41255 41257 1
41255 41258 1
41255 41256 1
38724 38816 1
2848 2850 1
2848 2854 1
66623 7712 1
50734 50736 1
50734 50735 1
44224 67517 1
44224 67515 1
44224 67516 1
44224 67513 1
44224 67514 1
3543 692 1
50091 50095 1
36983 68579 1
36983 68578 1
10128 14340 1
4045 4047 1
4045 4046 1
56251 7397 1
22047 9566 1
37030 37182 1
11122 11123 1
12571 44241 1
237 921 1
237 920 1
237 923 1
237 928 1
15236 15239 1
15236 15238 1
15236 15237 1
237 973 1
66848 66849 1
54895 54896 1
14688 65682 1
14688 65683 1
12113 12115 1
12113 12116 1
12113 12114 1
22746 22747 1
12468 12469 1
20647 21965 1
36960 36967 1
14688 65654 1
14688 65655 1
237 966 1
237 965 1
12468 12470 1
16355 16356 1
34635 34636 1
20309 21680 1
42650 42652 1
42650 42653 1
42650 42654 1
42650 42651 1
53927 53929 1
53927 53928 1
32083 32084 1
25793 25794 1
18333 18335 1
52553 53169 1
18333 18334 1
52553 53168 1
30524 41589 1
30524 41588 1
66261 66262 1
52553 53170 1
37591 4340 1
40540 40541 1
35051 36040 1
2730 2732 1
2730 2731 1
31291 31293 1
31291 31294 1
31291 31292 1
20141 67238 1
20141 67237 1
35051 36038 1
35051 36039 1
35051 36037 1
17036 17038 1
17036 17037 1
27665 35140 1
14278 14279 1
54138 54140 1
56508 6685 1
14094 69593 1
14094 69594 1
58448 58449 1
69643 7044 1
54138 54139 1
69643 7046 1
11479 12870 1
11479 12871 1
35008 35010 1
41487 41488 1
41487 41489 1
35008 35009 1
16250 16353 1
70343 70345 1
53300 53301 1
70343 70346 1
70343 70347 1
70343 70344 1
53300 53302 1
8551 8552 1
622 624 1
622 625 1
622 623 1
60264 60265 1
22412 27865 1
25855 62426 1
53982 53983 1
11221 25210 1
29010 29322 1
59091 59092 1
11221 25211 1
45274 45275 1
43200 67919 1
56319 56321 1
56319 56320 1
24495 3202 1
24495 3203 1
17445 17821 1
13992 14949 1
31717 32300 1
29010 29360 1
4309 4310 1
68370 7439 1
37080 37081 1
12814 69766 1
26884 26885 1
12814 69765 1
3123 40459 1
43731 43732 1
12814 69758 1
22097 23819 1
70422 71514 1
70422 71513 1
70422 71510 1
70422 71512 1
70422 71511 1
40312 40313 1
13852 17944 1
54629 54630 1
18291 3398 1
38974 767 1
20997 22024 1
71546 71547 1
18291 3486 1
39025 39026 1
14810 14811 1
3754 4786 1
14810 14813 1
3754 4787 1
14810 14812 1
14810 14814 1
52501 52890 1
37030 37031 1
52501 52889 1
52426 61561 1
52426 61560 1
61057 61058 1
64255 64256 1
42930 8644 1
64255 64257 1
6913 7156 1
27641 37499 1
14181 17617 1
2257 2295 1
17758 69638 1
15153 7431 1
2631 59320 1
53133 53135 1
31686 31687 1
53133 53134 1
23834 23835 1
23834 23836 1
23834 23837 1
23834 23838 1
21249 23055 1
21416 4229 1
2631 59319 1
36447 36448 1
2329 2330 1
66113 8476 1
22883 22884 1
35128 35129 1
14181 17648 1
14181 17647 1
29846 46618 1
2257 2258 1
2257 2259 1
22639 22937 1
54664 54665 1
13990 4180 1
10328 10330 1
53138 6923 1
34934 34935 1
21349 21350 1
34934 34936 1
16476 19737 1
10328 10329 1
7669 8595 1
11479 12819 1
10275 18363 1
26094 26096 1
48269 48271 1
48269 48270 1
26094 26095 1
27584 35391 1
31299 32190 1
11221 25194 1
24547 29269 1
14250 68050 1
14250 68049 1
14250 68048 1
65354 65355 1
65354 65357 1
65354 65356 1
65354 65358 1
5165 5818 1
69534 69546 1
69534 69549 1
69534 69548 1
69534 69547 1
5165 5819 1
19408 19409 1
23431 28000 1
19408 19410 1
69534 69535 1
16250 16251 1
68052 68054 1
68052 68055 1
43298 43300 1
31291 31461 1
68052 68053 1
5165 5822 1
5165 5823 1
5165 5824 1
5165 5825 1
29204 45735 1
5165 5820 1
5165 5821 1
31391 32817 1
11695 11697 1
11695 11696 1
71700 71701 1
32753 632 1
38753 38754 1
22412 27977 1
7617 8025 1
22412 27978 1
24404 25086 1
29329 29378 1
16459 16460 1
17366 17371 1
65682 65683 1
42937 42938 1
17366 17370 1
4030 4236 1
4030 4237 1
31953 913 1
4030 4231 1
65507 65609 1
53883 63785 1
53883 63783 1
53883 63784 1
3073 993 1
20046 20048 1
20046 20049 1
20046 20047 1
54906 54907 1
54906 54909 1
54906 54908 1
42937 42939 1
5730 6101 1
16445 61218 1
14181 17551 1
14181 17552 1
22448 24330 1
17366 17367 1
8061 8062 1
3745 3746 1
17366 17369 1
17366 17368 1
67492 67493 1
67492 67494 1
18431 18435 1
18431 18436 1
18431 18433 1
43298 43313 1
18431 18434 1
18431 18432 1
43298 43337 1
43298 43336 1
28213 28214 1
9608 9697 1
23571 675 1
33033 33034 1
23711 31894 1
67031 67032 1
1325 1396 1
16648 36754 1
50728 50729 1
23118 66615 1
50256 50257 1
27665 35307 1
27665 35308 1
27665 35306 1
20597 21919 1
50822 50824 1
100 34796 1
21431 21432 1
100 34794 1
50822 50823 1
100 34795 1
21431 21433 1
22795 22796 1
12398 53157 1
12398 53156 1
23711 31989 1
66983 66984 1
43398 5637 1
14351 14352 1
21702 67447 1
63588 63589 1
63588 63590 1
31640 45084 1
15880 15882 1
64661 64662 1
58793 58794 1
15880 15881 1
70128 70129 1
36455 36456 1
53874 53876 1
53874 53875 1
70128 70130 1
11138 11237 1
54211 54212 1
11138 11238 1
46748 46750 1
57797 66792 1
54211 54213 1
64661 64687 1
20624 23207 1
29666 29667 1
46748 46749 1
9131 9132 1
46856 46857 1
27660 4159 1
46661 46662 1
16426 6148 1
43136 43137 1
56110 56113 1
56110 56112 1
13440 13441 1
12662 4655 1
27641 37500 1
29900 30007 1
56110 56111 1
60476 64840 1
27641 37518 1
27641 37513 1
18035 36758 1
18675 18676 1
64528 64529 1
386 52992 1
60476 64949 1
12098 61096 1
22355 22356 1
60476 64951 1
22355 22357 1
22355 22358 1
12804 12806 1
12804 12805 1
17426 67355 1
17426 67356 1
16633 16754 1
17426 67357 1
16633 16753 1
16633 16752 1
38744 38745 1
38744 38746 1
20827 4225 1
20266 5413 1
1325 1768 1
4520 4521 1
60045 60047 1
25977 29618 1
52155 54664 1
52155 54665 1
60045 60046 1
31873 31875 1
31873 31874 1
25977 29622 1
16633 16750 1
16633 16751 1
16633 16749 1
58458 64777 1
58458 64776 1
22027 24800 1
16004 9543 1
57110 70345 1
57110 70344 1
57110 70347 1
57110 70346 1
57110 70341 1
57110 70340 1
57110 70343 1
57110 70342 1
35522 35894 1
35522 35892 1
35522 35893 1
20538 55710 1
62939 62940 1
40643 68843 1
40643 68844 1
60346 60433 1
40643 68845 1
40628 40639 1
63097 63098 1
70734 70735 1
13062 13063 1
13062 13065 1
13062 13064 1
19642 45101 1
23711 31996 1
25255 3477 1
17717 18152 1
40628 40630 1
41339 58100 1
40628 40638 1
40628 40637 1
40628 40632 1
40628 40631 1
40628 40629 1
7301 7302 1
24899 46130 1
7301 7303 1
51492 9424 1
20868 55844 1
23323 23325 1
23323 23326 1
13987 3691 1
10825 10826 1
23323 23324 1
40408 40409 1
24899 46127 1
24899 46125 1
57110 70337 1
18944 71756 1
57110 70338 1
57110 70339 1
18512 64889 1
18512 64888 1
59971 59972 1
66769 66807 1
55950 55952 1
55950 55951 1
33233 33867 1
33233 33868 1
2041 2167 1
64165 64171 1
64165 64170 1
5184 5185 1
5184 5186 1
20823 21837 1
20905 21649 1
64165 64169 1
64165 64168 1
10314 71557 1
27359 3515 1
48136 48137 1
48136 48138 1
48122 6894 1
18026 9493 1
39025 4238 1
25839 44934 1
23053 31374 1
13356 7942 1
572 63065 1
15126 70152 1
29948 42075 1
54994 54996 1
54994 54995 1
6363 6364 1
22663 24881 1
38778 6617 1
38778 6619 1
38778 6618 1
59007 59008 1
27124 27126 1
27124 27127 1
47216 47309 1
35638 35639 1
47216 47308 1
27124 27125 1
9377 9390 1
38778 6620 1
20905 21461 1
9377 9380 1
9377 9381 1
70525 70526 1
9377 9387 1
9377 9378 1
5420 5421 1
9377 9379 1
53295 53296 1
16633 16856 1
13392 13451 1
13392 13452 1
7230 7232 1
7230 7231 1
67054 67055 1
61137 61138 1
17396 20022 1
35522 35764 1
35522 35765 1
31291 31704 1
49468 8868 1
1611 56108 1
49468 8865 1
5880 6065 1
5880 6066 1
38893 38895 1
38893 38894 1
5880 6067 1
24913 24914 1
31838 31839 1
28790 28820 1
28790 28821 1
30887 30888 1
30887 30889 1
12384 52319 1
27124 27152 1
15913 15915 1
27124 27151 1
15913 15916 1
15913 15917 1
8704 9234 1
43049 43051 1
43049 43050 1
15913 15914 1
26201 61809 1
67493 67494 1
15032 40749 1
24095 24096 1
24095 24097 1
24095 24098 1
54950 55040 1
54950 55041 1
47058 47059 1
1503 1504 1
25215 26678 1
36912 36913 1
26751 26752 1
15387 17282 1
52379 52380 1
4057 9755 1
4057 9756 1
18974 19346 1
53885 53886 1
28790 28791 1
28790 28792 1
28790 28793 1
14602 14604 1
50021 50022 1
14602 14603 1
65732 65733 1
14791 14792 1
14791 14793 1
34188 34190 1
34188 34191 1
34188 34192 1
19355 71390 1
26201 61832 1
11655 11658 1
11655 11657 1
11655 11656 1
65732 65734 1
66611 66612 1
20868 55729 1
44231 60676 1
44231 60677 1
207 208 1
21651 21933 1
24377 3245 1
41255 4916 1
20757 22227 1
12384 52286 1
46282 63011 1
46282 63010 1
46282 63012 1
46282 63009 1
13392 13487 1
13392 13486 1
20647 21451 1
25581 25582 1
25581 25584 1
25581 25583 1
25581 25585 1
2170 5840 1
37704 37705 1
20516 20517 1
20516 20519 1
20516 20518 1
2250 34000 1
20516 20529 1
20516 20528 1
20516 20527 1
20516 20522 1
20516 20521 1
20516 20520 1
20516 20526 1
20516 20525 1
20516 20524 1
20516 20523 1
26477 26478 1
32587 60081 1
32587 60082 1
34843 66407 1
59212 63587 1
5880 6155 1
55848 55849 1
57333 68697 1
29631 4655 1
20309 21985 1
17378 681 1
51832 51833 1
32149 32150 1
1616 40695 1
27257 8796 1
12925 35018 1
12925 35019 1
12925 35017 1
70392 70394 1
42689 42690 1
70392 70393 1
15612 15613 1
27393 27394 1
27393 27395 1
139 17524 1
139 17525 1
139 17526 1
17691 67120 1
37733 39751 1
17691 67119 1
31345 32672 1
28999 29230 1
20656 23277 1
28999 29231 1
26153 26154 1
12384 52428 1
28999 29229 1
55586 55587 1
57375 57386 1
55586 55589 1
55586 55588 1
6126 6127 1
20656 23262 1
12384 52433 1
39979 50021 1
32809 51092 1
12384 52437 1
12384 52438 1
31011 31013 1
31011 31012 1
10513 10516 1
10513 10515 1
29401 35680 1
10513 10514 1
66299 66300 1
22647 22650 1
22647 22651 1
22647 22652 1
35522 35608 1
22647 22648 1
52108 52773 1
22647 22649 1
28063 5263 1
11620 11621 1
20520 24874 1
20520 24875 1
13802 14473 1
13802 14472 1
13802 14474 1
18664 18672 1
15988 15989 1
18664 18671 1
18664 18670 1
61697 61698 1
61497 61499 1
14515 52203 1
61697 61699 1
50678 50680 1
61497 61498 1
27942 28222 1
27942 28221 1
50678 50679 1
2320 2322 1
2320 2321 1
28123 58996 1
8233 8234 1
19848 19851 1
19848 19850 1
19848 19849 1
71986 71988 1
15900 16591 1
71986 71987 1
33262 33263 1
51155 51156 1
24411 24413 1
24411 24414 1
24411 24412 1
18664 18665 1
31357 31358 1
38540 38541 1
14473 3691 1
34252 34407 1
42944 66008 1
41771 41886 1
69195 69196 1
9857 9858 1
9857 9859 1
69195 69197 1
5360 5361 1
5360 5362 1
5360 5363 1
5360 5364 1
5360 5365 1
58962 58963 1
58962 58964 1
35214 35215 1
4946 4947 1
43979 44059 1
19732 19733 1
19732 19734 1
10347 2873 1
16918 16919 1
16918 16921 1
16918 16922 1
16918 16920 1
2282 43060 1
30608 30609 1
68995 68996 1
377 3891 1
17059 17103 1
30608 30610 1
17059 17101 1
17059 17102 1
40617 40618 1
68370 7078 1
25264 25265 1
35219 61881 1
35219 61882 1
25977 29930 1
582 583 1
42044 42045 1
53694 7886 1
56028 56029 1
3640 3642 1
3640 3643 1
3640 3641 1
65793 65794 1
56028 56031 1
56028 56030 1
1349 1945 1
1349 1946 1
45051 48648 1
572 63200 1
572 63201 1
36181 36193 1
67301 67302 1
3755 3756 1
56147 56148 1
3755 3757 1
26153 26238 1
26153 26236 1
1616 40594 1
25226 887 1
2072 2834 1
66652 66654 1
66652 66653 1
46255 9515 1
46255 9517 1
71031 71032 1
71031 71033 1
27942 28365 1
27942 28364 1
29441 71626 1
28999 29115 1
3436 3713 1
58524 58525 1
55967 55968 1
9721 9722 1
25304 25305 1
25304 25306 1
53115 53117 1
53115 53116 1
24679 24680 1
11022 11326 1
61942 61943 1
24694 27718 1
11022 11234 1
11347 11348 1
11347 11349 1
12216 68417 1
25839 44887 1
11347 11350 1
71184 71185 1
36613 36614 1
59708 59709 1
39195 39197 1
15501 15502 1
39195 39196 1
17552 41149 1
2410 25321 1
25839 44864 1
16519 285 1
2410 25320 1
19188 23349 1
59708 59711 1
59708 59710 1
2410 25319 1
50366 51068 1
50366 51067 1
50366 51066 1
50366 51065 1
71381 71383 1
71381 71382 1
60528 60529 1
41771 41772 1
41771 41773 1
41771 41774 1
60528 60530 1
60528 60531 1
60528 60532 1
23153 7709 1
17552 41185 1
17552 41186 1
61497 61566 1
363 364 1
7785 7786 1
61497 61558 1
572 63199 1
572 63198 1
43796 62841 1
30765 6270 1
38711 38712 1
18632 19103 1
18632 19102 1
18632 19101 1
59013 59014 1
71909 71910 1
20728 43154 1
2599 2600 1
68903 7078 1
13372 69376 1
18974 19142 1
11295 11296 1
12419 63637 1
38770 39379 1
38770 39378 1
38770 39377 1
237 238 1
38770 39376 1
38770 39375 1
36181 36185 1
36181 36184 1
30608 30742 1
14009 69101 1
31642 35535 1
10181 10182 1
26697 57420 1
20656 23080 1
45826 55803 1
53544 53545 1
45826 55802 1
7919 7920 1
31674 31675 1
41104 41105 1
5008 5009 1
5008 5011 1
11805 11807 1
11805 11806 1
5008 5010 1
65295 65296 1
21748 24699 1
12826 12828 1
12826 12827 1
70756 70947 1
62373 65097 1
47771 47772 1
31180 31181 1
61932 66761 1
25215 26901 1
4948 4949 1
25215 26903 1
25215 26902 1
68856 7438 1
67954 67955 1
48024 48026 1
48024 48025 1
845 847 1
845 848 1
845 849 1
845 846 1
845 851 1
17291 278 1
845 850 1
26633 26634 1
69276 69277 1
58654 6071 1
13927 13928 1
3288 3323 1
68742 68744 1
68742 68745 1
24624 24625 1
68742 68743 1
38799 39318 1
15900 16742 1
15900 16741 1
15900 16744 1
39978 39979 1
15900 16743 1
15900 16740 1
61932 66807 1
67360 68547 1
67360 68548 1
15900 16746 1
15900 16745 1
15900 16748 1
15900 16747 1
54448 54449 1
47257 47258 1
15900 16739 1
15900 16738 1
12419 63774 1
12419 63775 1
51900 54816 1
62989 67730 1
21396 21454 1
62989 67731 1
2660 2661 1
2660 2662 1
16287 16288 1
50289 50903 1
50289 50902 1
33733 33734 1
37712 37714 1
37712 37713 1
207 767 1
5448 5449 1
27866 27867 1
20656 23131 1
3782 4576 1
3782 4575 1
3782 4574 1
26579 26580 1
26579 26581 1
2284 68965 1
11301 11302 1
3782 4573 1
47120 48485 1
65811 65813 1
65811 65812 1
14009 69255 1
37379 37380 1
68101 68102 1
37497 500 1
53007 53009 1
46532 47031 1
62223 62225 1
53007 53008 1
46532 47032 1
26470 65259 1
5290 6496 1
62223 62224 1
13684 13685 1
13684 13686 1
13684 13687 1
5290 6497 1
12568 12569 1
54541 54542 1
54541 54544 1
54541 54543 1
30319 30321 1
30319 30320 1
44829 44831 1
44829 44830 1
45736 45737 1
12527 36325 1
12527 36326 1
10439 10452 1
50377 50378 1
19781 70748 1
63422 63423 1
19781 70749 1
41434 65527 1
30409 41959 1
41434 65528 1
41434 65529 1
30409 41960 1
57957 57958 1
27421 62519 1
27421 62518 1
27421 62517 1
14112 61668 1
14112 61669 1
26697 57398 1
14112 61667 1
10065 22410 1
31113 3439 1
8894 90 1
19781 70750 1
10065 22407 1
61066 61068 1
61066 61067 1
10065 22409 1
10065 22408 1
47339 54553 1
57375 57440 1
17568 17569 1
65932 65933 1
16494 16495 1
7221 7222 1
11653 59057 1
17996 17997 1
17996 17998 1
65932 65934 1
33655 530 1
15524 3757 1
67017 67019 1
50289 50779 1
67017 67018 1
50289 50778 1
12380 59998 1
27157 27294 1
2797 2798 1
17899 53457 1
1325 47622 1
1325 47621 1
15900 16660 1
27421 62490 1
27421 62489 1
27421 62488 1
17260 17261 1
23524 4120 1
52686 52687 1
22193 55614 1
8044 8045 1
40465 40466 1
21215 24033 1
40465 40469 1
33233 33351 1
33233 33350 1
40465 40467 1
10439 10441 1
40465 40468 1
10439 10440 1
52189 54709 1
32404 32405 1
33233 33348 1
33233 33345 1
33233 33344 1
36646 36647 1
58866 58867 1
24015 4753 1
52189 54711 1
52189 54710 1
45111 45112 1
10712 25501 1
10712 25502 1
32404 32468 1
17758 69148 1
17758 69149 1
70972 70974 1
70972 70973 1
21396 21397 1
20530 4323 1
7972 7973 1
